Day,Previous Day kWh,Average Voltage V,Average Current A,Actual Energy kWh
1,,240.087,9.999,56.508
2,56.508,241.232,6.422,36.73
3,36.73,241.999,4.926,27.77
4,27.77,242.308,6.467,37.096
5,37.096,241.042,5.028,28.619
6,28.619,241.185,6.873,39.022
7,39.022,240.136,14.028,79.556
8,79.556,241.687,7.64,42.5
9,42.5,243.4,7.952,45.719
10,45.719,241.625,11.348,65.568
11,65.568,243.767,4.518,25.479
12,25.479,243.268,6.086,34.544
13,34.544,240.871,9.271,52.907
14,52.907,240.536,8.319,46.706
15,46.706,239.897,10.2,58.237
16,58.237,240.129,7.917,45.817
17,45.817,241.944,3.714,21.154
18,21.154,243.557,3.014,16.901
19,16.901,239.75,9.478,54.324
20,54.324,240.496,7.885,45.223
21,45.223,239.673,4.544,25.14
22,25.14,240.902,7.283,40.794
23,40.794,239.577,6.552,37.356
24,37.356,240.488,5.521,31.151
25,31.151,241.027,6.358,35.913
26,35.913,241.156,6.658,37.587
27,37.587,241.538,4.309,24.355
28,24.355,239.284,9.453,53.114
29,53.114,238.818,8.972,50.184
30,50.184,241.241,6.262,35.811
31,35.811,241.945,4.976,28.107
32,28.107,241.005,8.284,47.461
33,47.461,240.894,5.342,30.358
34,30.358,240.161,4.376,24.674
35,24.674,238.867,9.348,52.229
36,52.229,238.968,10.191,56.788
37,56.788,241.603,6.355,36.342
38,36.342,242.763,5.261,29.627
39,29.627,241.458,8.734,49.798
40,49.798,243.424,4.629,26.606
41,26.606,242.772,4.721,26.966
42,26.966,241.617,5.95,34.068
43,34.068,240.302,9.134,51.54
44,51.54,240.93,5.789,33.044
45,33.044,241.841,5.028,28.463
46,28.463,239.921,6.924,39.396
47,39.396,240.392,5.333,30.413
48,30.413,240.334,4.871,27.796
49,27.796,238.91,11.816,67.162
50,67.162,239.633,10.565,59.932
51,59.932,240.81,4.82,27.421
52,27.421,241.264,3.772,21.225
53,21.225,241.15,6.792,38.8
54,38.8,241.797,5.248,30.024
55,30.024,241.74,4.727,27.003
56,27.003,240.037,8.304,47.155
57,47.155,239.506,10.527,59.52
58,59.52,240.099,5.503,31.294
59,31.294,241.167,4.144,23.576
60,23.576,240.375,7.315,41.645
61,41.645,240.669,5.82,33.089
62,33.089,240.821,5.047,28.375
63,28.375,239.316,6.129,34.615
64,34.615,239.171,11.239,63.829
65,63.829,239.79,6.442,36.444
66,36.444,239.865,9.168,52.499
67,52.499,240.461,6.074,34.548
68,34.548,238.62,9.88,56.29
69,56.29,240.686,3.825,21.891
70,21.891,239.863,2.086,11.915
71,11.915,241.682,1.462,8.362
72,8.362,241.274,1.659,9.475
73,9.475,242.944,1.525,8.635
74,8.635,242.16,1.528,8.68
75,8.68,241.321,1.509,8.626
76,8.626,240.592,1.507,8.595
77,8.595,241.288,2.401,13.652
78,13.652,240.03,6.158,34.845
79,34.845,240.031,7.84,44.339
80,44.339,240.988,3.696,20.775
81,20.775,240.324,6.935,39.587
82,39.587,240.665,4.665,26.202
83,26.202,240.888,3.731,21.21
84,21.21,239.803,7.342,41.412
85,41.412,240.007,10.122,58.011
86,58.011,240.559,5.728,32.511
87,32.511,240.898,3.806,21.502
88,21.502,240.777,5.268,29.889
89,29.889,240.28,5.523,31.414
90,31.414,239.527,4.992,28.368
91,28.368,238.225,5.946,33.802
92,33.802,241.048,7.008,39.517
93,39.517,240.497,6.282,35.875
94,35.875,240.816,6.151,34.77
95,34.77,240.987,6.237,35.702
96,35.702,241.764,4.223,24.25
97,24.25,241.645,3.804,21.817
98,21.817,239.704,8.703,49.474
99,49.474,240.035,9.717,55.611
100,55.611,241.337,4.183,23.601
